Date,Percentage change
08/02/2012,0.00216
09/02/2012,0.00147
10/02/2012,-0.00688
13/02/2012,0.00680
14/02/2012,-0.00094
15/02/2012,-0.00538
16/02/2012,0.01103
17/02/2012,0.00234
21/02/2012,0.00072
22/02/2012,-0.00334
23/02/2012,0.00428
24/02/2012,0.00167
27/02/2012,0.00135
28/02/2012,0.00336
29/02/2012,-0.00473
01/03/2012,0.00615
02/03/2012,-0.00324
05/03/2012,-0.00386
06/03/2012,-0.01537
07/03/2012,0.00690
08/03/2012,0.00982
09/03/2012,0.00363
12/03/2012,0.00017
13/03/2012,0.01813
14/03/2012,-0.00120
15/03/2012,0.00597
16/03/2012,0.00112
19/03/2012,0.00397
20/03/2012,-0.00300
21/03/2012,-0.00187
22/03/2012,-0.00721
23/03/2012,0.00310
26/03/2012,0.01389
27/03/2012,-0.00282
28/03/2012,-0.00494
29/03/2012,-0.00161
30/03/2012,0.00370
02/04/2012,0.00751
03/04/2012,-0.00399
04/04/2012,-0.01020
05/04/2012,-0.00063
09/04/2012,-0.01136
10/04/2012,-0.01708
11/04/2012,0.00744
12/04/2012,0.01378
13/04/2012,-0.01247
16/04/2012,-0.00051
17/04/2012,0.01549
18/04/2012,-0.00405
19/04/2012,-0.00594
20/04/2012,0.00117
23/04/2012,-0.00841
24/04/2012,0.00368
25/04/2012,0.01365
26/04/2012,0.00668
27/04/2012,0.00241
30/04/2012,-0.00388
01/05/2012,0.00566
02/05/2012,-0.00250
03/05/2012,-0.00765
04/05/2012,-0.01615
07/05/2012,0.00035
08/05/2012,-0.00428
09/05/2012,-0.00671
10/05/2012,0.00252
11/05/2012,-0.00339
14/05/2012,-0.01112
15/05/2012,-0.00574
16/05/2012,-0.00440
17/05/2012,-0.01505
18/05/2012,-0.00739
21/05/2012,0.01603
22/05/2012,0.00049
23/05/2012,0.00169
24/05/2012,0.00138
25/05/2012,-0.00216
29/05/2012,0.01108
30/05/2012,-0.01433
31/05/2012,-0.00228
01/06/2012,-0.02464
04/06/2012,0.00010
05/06/2012,0.00573
06/06/2012,0.02305
07/06/2012,-0.00011
08/06/2012,0.00811
11/06/2012,-0.01261
12/06/2012,0.01165
13/06/2012,-0.00702
14/06/2012,0.01081
15/06/2012,0.01033
18/06/2012,0.00145
19/06/2012,0.00982
20/06/2012,-0.00169
21/06/2012,-0.02226
22/06/2012,0.00717
25/06/2012,-0.01596
26/06/2012,0.00477
27/06/2012,0.00899
28/06/2012,-0.00211
29/06/2012,0.02492
02/07/2012,0.00246
03/07/2012,0.00623
05/07/2012,-0.00468
06/07/2012,-0.00944
09/07/2012,-0.00164
10/07/2012,-0.00812
11/07/2012,-0.00001
12/07/2012,-0.00499
13/07/2012,0.01650
16/07/2012,-0.00231
17/07/2012,0.00741
18/07/2012,0.00668
19/07/2012,0.00272
20/07/2012,-0.01006
23/07/2012,-0.00891
24/07/2012,-0.00904
25/07/2012,-0.00032
26/07/2012,0.01655
27/07/2012,0.01908
30/07/2012,-0.00048
31/07/2012,-0.00431
01/08/2012,-0.00304
02/08/2012,-0.00737
03/08/2012,0.01904
06/08/2012,0.00233
07/08/2012,0.00511
08/08/2012,0.00062
09/08/2012,0.00041
10/08/2012,0.00219
13/08/2012,-0.00125
14/08/2012,-0.00013
15/08/2012,0.00114
16/08/2012,0.00711
17/08/2012,0.00187
20/08/2012,-0.00002
21/08/2012,-0.00350
22/08/2012,0.00023
23/08/2012,-0.00807
24/08/2012,0.00645
27/08/2012,-0.00049
28/08/2012,-0.00081
29/08/2012,0.00084
30/08/2012,-0.00780
31/08/2012,0.00507
04/09/2012,-0.00116
05/09/2012,-0.00107
06/09/2012,0.02044
07/09/2012,0.00405
10/09/2012,-0.00614
11/09/2012,0.00314
12/09/2012,0.00209
13/09/2012,0.01631
14/09/2012,0.00396
17/09/2012,-0.00313
18/09/2012,-0.00128
19/09/2012,0.00119
20/09/2012,-0.00054
21/09/2012,-0.00008
24/09/2012,-0.00224
25/09/2012,-0.01050
26/09/2012,-0.00574
27/09/2012,0.00965
28/09/2012,-0.00448
01/10/2012,0.00265
02/10/2012,0.00088
03/10/2012,0.00362
04/10/2012,0.00717
05/10/2012,-0.00032
08/10/2012,-0.00346
09/10/2012,-0.00989
10/10/2012,-0.00619
11/10/2012,0.00020
12/10/2012,-0.00297
15/10/2012,0.00808
16/10/2012,0.01027
17/10/2012,0.00412
18/10/2012,-0.00244
19/10/2012,-0.01657
22/10/2012,0.00044
23/10/2012,-0.01444
24/10/2012,-0.00308
25/10/2012,0.00300
26/10/2012,-0.00073
31/10/2012,0.00015
01/11/2012,0.01093
02/11/2012,-0.00938
05/11/2012,0.00216
06/11/2012,0.00786
07/11/2012,-0.02370
08/11/2012,-0.01221
09/11/2012,0.00170
12/11/2012,0.00013
13/11/2012,-0.00399
14/11/2012,-0.01385
15/11/2012,-0.00159
16/11/2012,0.00484
19/11/2012,0.01986
20/11/2012,0.00067
21/11/2012,0.00232
23/11/2012,0.01303
26/11/2012,-0.00203
27/11/2012,-0.00523
28/11/2012,0.00786
29/11/2012,0.00427
30/11/2012,0.00016
03/12/2012,-0.00475
04/12/2012,-0.00171
05/12/2012,0.00158
06/12/2012,0.00331
07/12/2012,0.00292
10/12/2012,0.00033
11/12/2012,0.00655
12/12/2012,0.00045
13/12/2012,-0.00632
14/12/2012,-0.00413
17/12/2012,0.01187
18/12/2012,0.01148
19/12/2012,-0.00759
20/12/2012,0.00549
21/12/2012,-0.00938
24/12/2012,-0.00244
26/12/2012,-0.00479
27/12/2012,-0.00122
28/12/2012,-0.01105
31/12/2012,0.01694
02/01/2013,0.02541
03/01/2013,-0.00209
04/01/2013,0.00487
07/01/2013,-0.00312
08/01/2013,-0.00325
09/01/2013,0.00266
10/01/2013,0.00760
11/01/2013,-0.00005
14/01/2013,-0.00093
15/01/2013,0.00113
16/01/2013,0.00020
17/01/2013,0.00564
18/01/2013,0.00340
22/01/2013,0.00443
23/01/2013,0.00151
24/01/2013,0.00001
25/01/2013,0.00545
28/01/2013,-0.00185
29/01/2013,0.00511
30/01/2013,-0.00390
31/01/2013,-0.00257
01/02/2013,0.01005
04/02/2013,-0.01154
05/02/2013,0.01041
06/02/2013,0.00055
07/02/2013,-0.00180
08/02/2013,0.00565
11/02/2013,-0.00060
